,goodsCode,qty,bigbox,smallbox,box,sore
270,031150611008	,11083.0,120,60.0,5,270.0
271,660110010020	,11062.0,120,60.0,5,600.0
272,670050020016	,10974.0,40,20.0,5,123.0
273,031121501048	,10842.0,100,20.0,5,3885.0
274,660110010028	,10812.0,80,40.0,5,380.0
275,660200010103	,10791.0,100,100.0,10,434.0
276,031160203117	,10664.0,80,40.0,5,462.0
277,660270030104	,10660.0,120,60.0,5,186.0
278,660050020045	,10641.0,200,200.0,10,628.0
279,670010020002	,10594.0,80,40.0,5,256.0
280,031150611006	,10484.0,80,40.0,5,294.0
281,660010010840	,10448.0,30,30.0,5,202.0
282,031132501038	,10446.0,40,20.0,5,19.0
283,031121501043	,10405.0,100,20.0,5,3704.0
284,660050020001	,10388.0,100,100.0,10,706.0
285,660200010002	,10380.0,120,60.0,10,31.0
286,660050020024	,10326.0,200,200.0,20,1091.0
287,660010010782	,10325.0,30,30.0,5,251.0
288,660200010856	,10282.0,80,80.0,10,150.0
289,660200010167	,10257.0,120,60.0,5,339.0
290,660120010016	,10204.0,120,60.0,5,144.0
291,031350301004	,10158.0,40,20.0,0,0.0
292,670010010014	,10157.0,40,20.0,15,10.0
293,660110010085	,10152.0,80,40.0,5,108.0
294,660050020195	,10136.0,120,120.0,5,330.0
295,670050020002	,10112.0,40,20.0,5,26.0
296,660010010434	,10097.0,30,30.0,5,371.0
297,031121502019	,10096.0,100,20.0,5,3534.0
298,031440201151	,10080.0,120,60.0,0,0.0
299,660250010131	,10070.0,40,40.0,10,231.0
300,031132302013	,10048.0,40,20.0,5,458.0
301,660050020041	,9999.0,200,200.0,30,78.0
302,020050010128	,9903.0,120,120.0,10,217.0
303,660110010019	,9872.0,120,60.0,5,471.0
304,660200010060	,9865.0,120,120.0,10,336.0
305,031160203047	,9850.0,200,50.0,10,606.0
306,031160103116	,9833.0,40,20.0,5,806.0
307,031150601193	,9786.0,120,60.0,5,684.0
308,660150030071	,9699.0,80,40.0,10,47.0
309,031150601071	,9697.0,120,60.0,10,235.0
310,660200010758	,9665.0,120,60.0,10,263.0
311,031121501030	,9586.0,100,20.0,5,3114.0
312,660200010159	,9506.0,120,60.0,10,451.0
313,660240010225	,9506.0,80,40.0,5,75.0
314,660010010805	,9479.0,30,30.0,5,337.0
315,660150030061	,9472.0,80,40.0,5,259.0
316,031121501045	,9466.0,100,20.0,5,3853.0
317,020050010009	,9431.0,80,40.0,5,1154.0
318,031160103193	,9418.0,40,20.0,5,466.0
319,660110040001	,9362.0,120,60.0,10,691.0
320,660270030022	,9333.0,120,60.0,5,422.0
321,660200010960	,9304.0,120,60.0,10,133.0
322,031132501043	,9104.0,40,20.0,5,1073.0
323,660110010088	,9101.0,80,40.0,10,140.0
324,660200010098	,9089.0,120,120.0,10,392.0
325,660200010148	,9056.0,100,100.0,10,290.0
326,660050020105	,9001.0,120,120.0,10,446.0
327,660050010230	,8978.0,60,20.0,5,155.0
328,031150611009	,8929.0,120,60.0,5,402.0
329,660200010862	,8918.0,120,60.0,10,32.0
330,031150611007	,8846.0,192,96.0,20,657.0
331,031150601265	,8841.0,120,60.0,5,565.0
332,660110010090	,8814.0,80,40.0,5,200.0
333,660010010558	,8725.0,20,20.0,5,177.0
