,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_score,slope_score,mount_score,deal_score,OSMD
3065,20235018,25,1338.88,0.72,5,4,16,5.499999999999999,25,3.258096538021482,7.20033533669611,2,3,2,1,2.2
3066,20235481,25,804.85,0.88,4,10,11,3.4999999999999996,25,3.258096538021482,6.691897620968727,2,2,2,2,1.9999999999999998
3067,20236608,25,1744.51,0.84,8,9,8,-1.210874187062958e-15,25,3.258096538021482,7.464802055546153,2,2,2,2,1.9999999999999998
3068,20230293,25,1038.94,0.88,8,16,1,-3.5000000000000013,25,3.258096538021482,6.946918298163461,2,2,2,2,1.9999999999999998
3069,20234011,25,950.1,0.84,5,9,11,2.999999999999999,25,3.258096538021482,6.85761920948834,2,2,2,2,1.9999999999999998
3070,20234250,25,1076.46,0.96,7,7,11,1.9999999999999996,25,3.258096538021482,6.982361698318991,2,2,2,3,2.0999999999999996
3071,20235000,25,1097.55,0.76,8,9,8,-1.210874187062958e-15,25,3.258096538021482,7.001746407402379,2,2,2,1,1.9
3072,20237270,25,943.97,0.8,8,9,8,-1.210874187062958e-15,25,3.258096538021482,6.851153180958081,2,2,2,1,1.9
3073,20234889,25,663.84,0.92,5,8,12,3.499999999999999,25,3.258096538021482,6.4995464102029095,2,2,2,3,2.0999999999999996
3074,20236979,25,757.73,0.68,10,6,9,-0.5000000000000016,25,3.258096538021482,6.631645982882972,2,2,2,1,1.9
3075,20235365,25,878.1,0.92,6,8,11,2.4999999999999987,25,3.258096538021482,6.778898656857133,2,2,2,3,2.0999999999999996
3076,20230616,25,1291.46,0.92,8,10,7,-0.5000000000000003,25,3.258096538021482,7.164302658128063,2,2,2,3,2.0999999999999996
3077,20230268,25,927.0,0.76,2,11,12,5.0,25,3.258096538021482,6.833031732786201,2,2,2,1,1.9
3078,20231634,25,757.15,0.96,1,9,15,7.0,25,3.258096538021482,6.6308812552469485,2,3,2,3,2.4000000000000004
3079,20237275,25,1061.31,0.96,10,5,10,-2.2994283036560515e-15,25,3.258096538021482,6.968201061278326,2,2,2,3,2.0999999999999996
3080,20235390,25,855.54,0.8,4,9,12,3.9999999999999996,25,3.258096538021482,6.752901018366621,2,2,2,1,1.9
3081,20240721,25,1390.55,0.84,9,8,8,-0.4999999999999999,25,3.258096538021482,7.23817351276739,2,2,2,2,1.9999999999999998
3082,20236821,25,1105.43,0.84,7,9,9,0.9999999999999986,25,3.258096538021482,7.008893894950407,2,2,2,2,1.9999999999999998
3083,20230047,25,530.97,0.8,10,9,6,-2.0000000000000018,25,3.258096538021482,6.27658709677417,2,2,2,1,1.9
3084,20231809,25,1364.97,0.88,5,7,13,3.9999999999999996,25,3.258096538021482,7.219620077956918,2,2,2,2,1.9999999999999998
3085,20237416,25,1041.79,0.56,11,6,8,-1.5000000000000018,25,3.258096538021482,6.949655092446815,2,2,2,1,1.9
3086,20237197,25,1205.91,0.92,4,10,11,3.4999999999999996,25,3.258096538021482,7.095818653280139,2,2,2,3,2.0999999999999996
3087,20234752,25,950.37,0.96,7,9,9,0.9999999999999986,25,3.258096538021482,6.85790305102257,2,2,2,3,2.0999999999999996
3088,20230290,25,604.58,0.96,4,10,11,3.4999999999999996,25,3.258096538021482,6.406186676478823,2,2,2,3,2.0999999999999996
3089,20237302,25,1362.0,0.76,10,8,7,-1.5000000000000018,25,3.258096538021482,7.217443431696533,2,2,2,1,1.9
3090,20240076,25,1306.95,0.76,12,13,0,-6.000000000000002,25,3.258096538021482,7.176216304986807,2,1,2,1,1.6
3091,20231463,25,1371.91,0.92,11,6,8,-1.5000000000000018,25,3.258096538021482,7.224687853728733,2,2,2,3,2.0999999999999996
3092,20231882,25,679.75,0.88,9,15,1,-4.000000000000002,25,3.258096538021482,6.5231951315538685,2,2,2,2,1.9999999999999998
3093,20230947,25,998.94,0.88,7,13,5,-1.0000000000000013,25,3.258096538021482,6.907695277182065,2,2,2,2,1.9999999999999998
3094,20230025,25,1433.33,0.88,5,10,10,2.5,25,3.258096538021482,7.268453120207762,2,2,2,2,1.9999999999999998
3095,20237369,25,998.76,0.92,11,6,8,-1.5000000000000018,25,3.258096538021482,6.9075152501775285,2,2,2,3,2.0999999999999996
3096,20230939,25,1085.15,0.8,7,5,13,2.9999999999999987,25,3.258096538021482,6.990394612502939,2,2,2,1,1.9
3097,20234934,25,700.37,0.8,6,11,8,0.9999999999999989,25,3.258096538021482,6.553035565191689,2,2,2,1,1.9
3098,20236940,25,1464.92,0.84,13,10,2,-5.500000000000003,25,3.258096538021482,7.290238310698378,2,1,2,2,1.7
3099,20235490,25,730.64,0.76,3,11,11,4.0,25,3.258096538021482,6.595288589707725,2,2,2,1,1.9
3100,20232426,25,821.96,0.76,11,8,6,-2.5000000000000018,25,3.258096538021482,6.712907596822775,2,2,2,1,1.9
3101,20230498,25,1041.24,0.88,7,10,8,0.49999999999999895,25,3.258096538021482,6.949127522087869,2,2,2,2,1.9999999999999998
3102,20235101,25,1740.56,0.72,8,9,8,-1.210874187062958e-15,25,3.258096538021482,7.462536542270271,2,2,2,1,1.9
3103,20236650,25,851.03,0.8,14,8,3,-5.500000000000003,25,3.258096538021482,6.7476217374770195,2,1,2,1,1.6
3104,20237151,25,1353.62,0.56,3,9,13,5.0,25,3.258096538021482,7.211276251177936,2,2,2,1,1.9
3105,20233778,25,951.34,0.76,7,10,8,0.49999999999999895,25,3.258096538021482,6.858922113888179,2,2,2,1,1.9
3106,20230394,25,946.44,0.92,7,8,10,1.4999999999999993,25,3.258096538021482,6.85376361041324,2,2,2,3,2.0999999999999996
3107,20232181,25,984.43,0.76,7,11,7,-4.98747184596348e-16,25,3.258096538021482,6.893078094135986,2,2,2,1,1.9
3108,20234910,25,743.2,0.92,7,13,5,-1.0000000000000013,25,3.258096538021482,6.612309815912522,2,2,2,3,2.0999999999999996
3109,20230758,25,1197.11,0.8,14,10,1,-6.500000000000002,25,3.258096538021482,7.088500594159723,2,1,2,1,1.6
3110,20234909,25,1013.66,0.72,6,9,10,2.0,25,3.258096538021482,6.9223088599896485,2,2,2,1,1.9
3111,20235509,25,834.52,0.88,14,4,7,-3.5000000000000004,25,3.258096538021482,6.728054285510764,2,2,2,2,1.9999999999999998
3112,20236788,25,1199.59,0.92,8,5,12,1.9999999999999984,25,3.258096538021482,7.090568381614306,2,2,2,3,2.0999999999999996
3113,20237434,25,1145.34,0.56,11,10,4,-3.5000000000000004,25,3.258096538021482,7.044329537391328,2,2,2,1,1.9
