,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_minmax,order_cluster
159,20232392,138,6749.93,0.8913043478260869,21,42,75,26.999999999999996,135,4.9344739331306915,8.817435552153867,0.7403936803379496,2
160,20233911,138,6811.04,0.8768115942028986,21,54,63,20.999999999999993,135,4.9344739331306915,8.826446913755944,0.7403936803379496,2
161,20231956,138,4977.98,0.8913043478260869,21,50,67,22.99999999999999,135,4.9344739331306915,8.512980329763257,0.7403936803379496,2
162,20233917,137,5665.01,0.8540145985401459,40,40,57,8.499999999999993,135,4.927253685157205,8.642240445302424,0.7391332667263829,2
163,20234168,137,5775.14,0.8467153284671532,31,53,53,10.999999999999996,135,4.927253685157205,8.661490918506068,0.7391332667263829,2
164,20235183,136,2605.02,0.7647058823529411,23,35,78,27.499999999999996,135,4.919980925828125,7.865579432252424,0.7378636863898512,2
165,20237131,136,5400.2,0.9558823529411765,24,59,53,14.499999999999993,135,4.919980925828125,8.594376430086887,0.7378636863898512,2
166,20232307,136,5460.08,0.9191176470588235,45,47,44,-0.5000000000000099,135,4.919980925828125,8.605401851376477,0.7378636863898512,2
167,20232601,136,5567.11,0.9044117647058824,32,78,26,-3.0000000000000115,135,4.919980925828125,8.62481095756624,0.7378636863898512,2
168,20233900,136,5754.45,0.75,34,42,60,13.0,135,4.919980925828125,8.65790251097484,0.7378636863898512,2
169,20232253,135,7215.86,0.7703703703703704,7,56,72,32.5,135,4.912654885736052,8.884175234242022,0.7365848050155771,2
170,20232275,135,6347.99,0.8296296296296296,17,70,48,15.5,135,4.912654885736052,8.75605102411802,0.7365848050155771,2
171,20231789,135,6773.49,0.7851851851851852,40,34,61,10.499999999999996,135,4.912654885736052,8.820919366161696,0.7365848050155771,2
172,20233796,135,4146.04,0.8888888888888888,44,33,58,6.999999999999989,135,4.912654885736052,8.33015010572675,0.7365848050155771,2
173,20237809,135,4475.6,0.8592592592592593,28,45,62,17.0,135,4.912654885736052,8.406619108705524,0.7365848050155771,2
174,20232183,135,6479.03,0.8148148148148148,37,45,53,7.999999999999996,135,4.912654885736052,8.776480418965233,0.7365848050155771,2
175,20233984,134,4177.57,0.8880597014925373,16,85,33,8.499999999999998,130,4.90527477843843,8.33772436172429,0.735296485317015,2
176,20240557,134,7547.42,0.8582089552238806,24,45,65,20.5,130,4.90527477843843,8.929093548819552,0.735296485317015,2
177,20237581,134,5292.87,0.9328358208955224,33,41,60,13.499999999999995,130,4.90527477843843,8.574304826384294,0.735296485317015,2
178,20234412,134,7035.94,0.9328358208955224,38,38,58,9.999999999999996,130,4.90527477843843,8.858928695569535,0.735296485317015,2
179,20231660,134,5511.15,0.9402985074626866,23,65,46,11.499999999999996,130,4.90527477843843,8.614710025675903,0.735296485317015,2
180,20241309,133,4905.43,0.8947368421052632,5,59,69,32.0,130,4.897839799950911,8.498301868755822,0.7339985869454096,2
181,20235381,133,4795.07,0.9022556390977443,24,53,56,15.999999999999998,130,4.897839799950911,8.475552111537139,0.7339985869454096,2
182,20236926,133,5654.32,0.8872180451127819,42,28,63,10.499999999999995,130,4.897839799950911,8.640351974040302,0.7339985869454096,2
183,20236116,133,5650.81,0.8270676691729323,30,41,62,16.0,130,4.897839799950911,8.639731126820408,0.7339985869454096,2
184,20230083,133,4124.7,0.8947368421052632,17,43,73,27.999999999999993,130,4.897839799950911,8.324990981341577,0.7339985869454096,2
185,20235727,133,6296.46,0.9323308270676691,44,34,55,5.499999999999987,130,4.897839799950911,8.747901656479717,0.7339985869454096,2
186,20237698,132,6937.21,0.8787878787878788,38,47,47,4.499999999999986,130,4.890349128221754,8.844799095160411,0.7326909663980438,2
187,20237689,132,4268.68,0.8712121212121212,11,51,70,29.499999999999996,130,4.890349128221754,8.35929416196243,0.7326909663980438,2
188,20233638,132,5960.79,0.9545454545454546,30,50,52,11.0,130,4.890349128221754,8.693126050538165,0.7326909663980438,2
189,20232066,132,3878.92,0.7196969696969697,6,45,81,37.5,130,4.890349128221754,8.263569813848052,0.7326909663980438,2
190,20231815,132,5197.74,0.9166666666666666,35,55,42,3.4999999999999964,130,4.890349128221754,8.556171567515959,0.7326909663980438,2
191,20234591,131,3138.0,0.8854961832061069,6,48,77,35.50000000000001,130,4.882801922586371,8.051659556841953,0.73137347692302,2
192,20235645,130,5900.41,0.9384615384615385,42,33,55,6.499999999999989,130,4.875197323201151,8.682946584392758,0.7300459684204257,2
193,20231155,130,5055.03,0.9153846153846154,34,51,45,5.499999999999993,130,4.875197323201151,8.528336869353394,0.7300459684204257,2
194,20232246,129,4852.75,0.8527131782945736,20,49,60,19.999999999999996,125,4.867534450455582,8.487506881045878,0.7287082873397086,2
195,20236087,129,5332.54,0.8449612403100775,34,47,48,6.999999999999993,125,4.867534450455582,8.581770461803046,0.7287082873397086,2
196,20234458,129,3229.93,0.9612403100775194,14,63,52,18.999999999999996,125,4.867534450455582,8.080525300470647,0.7287082873397086,2
197,20235859,128,4511.12,0.9140625,27,57,44,8.499999999999996,125,4.859812404361672,8.414522388568916,0.7273602765730908,2
198,20231907,128,7345.54,0.8125,27,46,55,13.999999999999995,125,4.859812404361672,8.901984733070796,0.7273602765730908,2
199,20234847,126,4880.58,0.8015873015873016,25,47,54,14.499999999999996,125,4.844187086458591,8.49322421693664,0.7246326190961704,2
200,20234644,125,4910.55,0.904,15,59,51,17.999999999999996,125,4.836281906951478,8.499344853252458,0.7232526393656635,2
201,20232130,125,4887.81,0.84,32,39,54,10.999999999999995,125,4.836281906951478,8.49470419907035,0.7232526393656635,2
202,20237693,125,4180.24,0.864,33,20,72,19.499999999999996,125,4.836281906951478,8.338363132244382,0.7232526393656635,2
203,20231940,124,4209.06,0.9516129032258065,22,52,50,13.999999999999993,120,4.8283137373023015,8.345232178356344,0.7218616636648324,2
204,20232118,124,4324.88,0.9435483870967742,20,42,62,20.999999999999996,120,4.8283137373023015,8.372370866877224,0.7218616636648324,2
205,20232103,124,7167.35,0.6532258064516129,55,47,22,-16.500000000000014,120,4.8283137373023015,8.877430781587712,0.7218616636648324,2
206,20237123,124,3910.34,0.782258064516129,35,67,22,-6.500000000000004,120,4.8283137373023015,8.271635305264853,0.7218616636648324,2
207,20230014,124,4467.06,0.9032258064516129,20,47,57,18.5,120,4.8283137373023015,8.404709588926142,0.7218616636648324,2
208,20237071,124,5824.94,0.9112903225806451,39,48,37,-1.000000000000007,120,4.8283137373023015,8.670075638805175,0.7218616636648324,2
209,20234714,123,4891.73,0.9024390243902439,38,52,33,-2.5000000000000058,120,4.820281565605037,8.495505708895971,0.7204595153487567,2
210,20232305,122,3736.98,0.9016393442622951,26,51,45,9.499999999999995,120,4.812184355372417,8.226300637546405,0.719046013481454,2
211,20236485,122,4864.55,0.8278688524590164,37,49,36,-0.5000000000000064,120,4.812184355372417,8.489935040645374,0.719046013481454,2
212,20230285,122,3362.28,0.8278688524590164,36,39,47,5.499999999999994,120,4.812184355372417,8.120671967269377,0.719046013481454,2
213,20234480,122,6588.35,0.8278688524590164,40,35,47,3.4999999999999925,120,4.812184355372417,8.793209988337486,0.719046013481454,2
214,20235524,121,815.44,1.0,32,88,1,-15.500000000000002,120,4.804021044733257,6.704953425325842,0.7176209726957598,2
